date,domain_code,page_title,count_views,total_response_size
2016-01-01T20:00:00.000+01:00,ab,%D0%90%D0%BB%D0%B0%D1%85%D3%99%D1%8B%D0%BB%D0%B0:Stepro,1,28577
2016-01-01T20:00:00.000+01:00,ab,%D0%90%D0%BB%D0%B0%D1%85%D3%99%D1%8B%D0%BB%D0%B0:StigBot,1,25056
2016-01-01T20:00:00.000+01:00,ab,%D0%90%D0%BB%D0%B0%D1%85%D3%99%D1%8B%D0%BB%D0%B0:Synthebot,1,25022
2016-01-01T20:00:00.000+01:00,ab,%D0%90%D0%BB%D0%B0%D1%85%D3%99%D1%8B%D0%BB%D0%B0:TXiKi,1,79653
2016-01-01T20:00:00.000+01:00,ab,%D0%90%D0%BB%D0%B0%D1%85%D3%99%D1%8B%D0%BB%D0%B0:TaBOT-zerem,1,25424
2016-01-01T20:00:00.000+01:00,ab,%D0%90%D0%BB%D0%B0%D1%85%D3%99%D1%8B%D0%BB%D0%B0:TinucherianBot_II,1,31405
2016-01-01T20:00:00.000+01:00,ab,%D0%90%D0%BB%D0%B0%D1%85%D3%99%D1%8B%D0%BB%D0%B0:TjBot,1,25162
2016-01-01T20:00:00.000+01:00,ab,%D0%90%D0%BB%D0%B0%D1%85%D3%99%D1%8B%D0%BB%D0%B0:Uusijani,1,78146
2016-01-01T20:00:00.000+01:00,ab,%D0%90%D0%BB%D0%B0%D1%85%D3%99%D1%8B%D0%BB%D0%B0:Vagobot,1,52497
2016-01-01T20:00:00.000+01:00,ab,%D0%90%D0%BB%D0%B0%D1%85%D3%99%D1%8B%D0%BB%D0%B0:Vhorvat,1,27590
2016-01-01T20:00:00.000+01:00,ab,%D0%90%D0%BB%D0%B0%D1%85%D3%99%D1%8B%D0%BB%D0%B0:Wayiran,1,26422
2016-01-01T20:00:00.000+01:00,ab,%D0%90%D0%BB%D0%B0%D1%85%D3%99%D1%8B%D0%BB%D0%B0:WikiDreamer,1,90303
2016-01-01T20:00:00.000+01:00,ab,%D0%90%D0%BB%D0%B0%D1%85%D3%99%D1%8B%D0%BB%D0%B0:WikiDreamer_Bot,2,188952
2016-01-01T20:00:00.000+01:00,ab,%D0%90%D0%BB%D0%B0%D1%85%D3%99%D1%8B%D0%BB%D0%B0:WikitanvirBot,1,28789
2016-01-01T20:00:00.000+01:00,ab,%D0%90%D0%BB%D0%B0%D1%85%D3%99%D1%8B%D0%BB%D0%B0:William915,1,7858
2016-01-01T20:00:00.000+01:00,ab,%D0%90%D0%BB%D0%B0%D1%85%D3%99%D1%8B%D0%BB%D0%B0:Wwbot,1,24935
2016-01-01T20:00:00.000+01:00,ab,%D0%90%D0%BB%D0%B0%D1%85%D3%99%D1%8B%D0%BB%D0%B0:Xqbot,1,25841
